measurement,created_at,app,rails,ruby,platform
0,2009-05-15T07:32:28Z,,2.3.2,ruby-1.8.7.160,i686-darwin9
0,2009-05-15T11:14:18Z,,2.3.2,ruby-1.8.7.160,i686-darwin9
